date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:56	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1679670551-ssl-df	https://nta0309-ecommerce-admin-dashboard.netlify.app/robots.txt		(from )
09:36:56	146852/146852	---MCZ	200	added ('OK')	text/html	etag:%2297f25aae3aa58acf7f1afcf3a41edf61-ssl-df%22	https://nta0309-ecommerce-admin-dashboard.netlify.app/	C:/Users/Acer/Documents/ExeManager/nta0309-ecommerce-admin-dashboard.netlify.app/index.html	(from )
09:36:57	1124/1124	---M--	200	added ('OK')	image/png	etag:%22d71b15f743ef17e2fedb0a551e9c26e9-ssl%22	https://nta0309-ecommerce-admin-dashboard.netlify.app/img/favicon.png	C:/Users/Acer/Documents/ExeManager/nta0309-ecommerce-admin-dashboard.netlify.app/img/favicon.png	(from https://nta0309-ecommerce-admin-dashboard.netlify.app/)
09:36:58	163872/163872	---MCZ	200	added ('OK')	text/css	etag:%229208cf87ed846bb0b184feefcb35ada5-ssl-df%22	https://nta0309-ecommerce-admin-dashboard.netlify.app/css/bootstrap.min.css	C:/Users/Acer/Documents/ExeManager/nta0309-ecommerce-admin-dashboard.netlify.app/css/bootstrap.min.css	(from https://nta0309-ecommerce-admin-dashboard.netlify.app/)
09:36:58	100782/100782	---MCZ	200	added ('OK')	text/css	etag:%22c573aa777aad3bd2d4b09f6e7715a73a-ssl-df%22	https://nta0309-ecommerce-admin-dashboard.netlify.app/css/font-awesome-all.min.css	C:/Users/Acer/Documents/ExeManager/nta0309-ecommerce-admin-dashboard.netlify.app/css/font-awesome-all.min.css	(from https://nta0309-ecommerce-admin-dashboard.netlify.app/)
09:36:58	858/858	---M--	200	added ('OK')	text/css	etag:%226f666eefcdbf7fd9d1b7d1e11110986d-ssl%22	https://nta0309-ecommerce-admin-dashboard.netlify.app/css/charts.min.css	C:/Users/Acer/Documents/ExeManager/nta0309-ecommerce-admin-dashboard.netlify.app/css/charts.min.css	(from https://nta0309-ecommerce-admin-dashboard.netlify.app/)
09:36:59	11661/11661	---MCZ	200	added ('OK')	text/css	etag:%22827d732db1e5576f70c40562cb164dde-ssl-df%22	https://nta0309-ecommerce-admin-dashboard.netlify.app/css/datatables.min.css	C:/Users/Acer/Documents/ExeManager/nta0309-ecommerce-admin-dashboard.netlify.app/css/datatables.min.css	(from https://nta0309-ecommerce-admin-dashboard.netlify.app/)
09:37:00	6501/6501	---MCZ	200	added ('OK')	text/css	etag:%2288acd23333d087c458ce62a9e2c7c546-ssl-df%22	https://nta0309-ecommerce-admin-dashboard.netlify.app/css/jvector-map.css	C:/Users/Acer/Documents/ExeManager/nta0309-ecommerce-admin-dashboard.netlify.app/css/jvector-map.css	(from https://nta0309-ecommerce-admin-dashboard.netlify.app/)
09:37:00	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%22eb1c5c1c3db37a5348ac2804b5708c72-ssl-df%22	https://nta0309-ecommerce-admin-dashboard.netlify.app/css/slickslider.min.css	C:/Users/Acer/Documents/ExeManager/nta0309-ecommerce-admin-dashboard.netlify.app/css/slickslider.min.css	(from https://nta0309-ecommerce-admin-dashboard.netlify.app/)
09:37:01	22461/22461	---MCZ	200	added ('OK')	text/css	etag:%226991758eae21c767484c5b9022fe1c8b-ssl-df%22	https://nta0309-ecommerce-admin-dashboard.netlify.app/css/jquery-ui.css	C:/Users/Acer/Documents/ExeManager/nta0309-ecommerce-admin-dashboard.netlify.app/css/jquery-ui.css	(from https://nta0309-ecommerce-admin-dashboard.netlify.app/)
