date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:42	89/89	---M-Z	200	added ('OK')	text/plain	etag:W/%228b02556b9d92df416428fdef26ae1d67%22	https://bean-style.mysapo.net/robots.txt		(from )
15:24:44	536876/536876	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2008:24:43%20GMT	https://bean-style.mysapo.net/	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/index.html	(from )
15:24:44	8277/8277	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Dec%202025%2008:24:44%20GMT	https://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/logo.png?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/logobf6b.png	(from https://bean-style.mysapo.net/)
15:24:45	4935/4935	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Dec%202025%2008:24:45%20GMT	http://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/favicon.png?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/faviconbf6b.png	(from https://bean-style.mysapo.net/)
15:24:46	5554/5554	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Dec%202025%2005:20:06%20GMT	http://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/lazy.js?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/lazybf6b.js	(from https://bean-style.mysapo.net/)
15:24:47	24403/24403	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Dec%202025%2005:20:06%20GMT	http://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/fonts.scss.css?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/fonts.scssbf6b.css	(from https://bean-style.mysapo.net/)
15:24:47	142282/142282	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2002:24:17%20GMT	http://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/main.scss.css?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/main.scssbf6b.css	(from https://bean-style.mysapo.net/)
15:24:48	69048/69048	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Dec%202025%2005:20:18%20GMT	http://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/index.scss.css?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/index.scssbf6b.css	(from https://bean-style.mysapo.net/)
15:24:48	26971/26971	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Dec%202025%2005:20:06%20GMT	http://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/bootstrap-4-3-min.css?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/bootstrap-4-3-minbf6b.css	(from https://bean-style.mysapo.net/)
15:24:49	9639/9639	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2002:24:17%20GMT	http://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/quickviews_popup_cart.scss.css?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/quickviews_popup_cart.scssbf6b.css	(from https://bean-style.mysapo.net/)
15:24:52	89630/89630	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Dec%202025%2005:20:18%20GMT	http://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/jquery.js?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/jquerybf6b.js	(from https://bean-style.mysapo.net/)
15:24:52	96594/96594	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2010%20Oct%202025%2007:17:19%20GMT	http://bizweb.dktcdn.net/100/566/174/themes/1008318/assets/swiper.js?1758853455743	C:/Users/dungb/Downloads/EXE201/bizweb.dktcdn.net/100/566/174/themes/1008318/assets/swiperbf6b.js	(from https://bean-style.mysapo.net/)
15:24:52	250738/250738	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2008:24:49%20GMT	https://bean-style.mysapo.net/s	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/s.a.delayed	(from https://bean-style.mysapo.net/)
15:24:52	8984/8984	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dc6f1065a8c598%22	https://bean-style.mysapo.net/dist/js/stats.min.js?v=96f2ff2	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/dist/js/stats.minbadf.js	(from https://bean-style.mysapo.net/)
15:24:54	334290/334290	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2008:24:53%20GMT	https://bean-style.mysapo.net/search?q=V%c3%a1y	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/searche316.html	(from https://bean-style.mysapo.net/)
15:24:58	318126/318126	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2008:24:54%20GMT	https://bean-style.mysapo.net/search?q=%c4%90%e1%ba%a7m	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/search4fa1.html	(from https://bean-style.mysapo.net/)
15:25:03	350080/350080	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2008:24:55%20GMT	https://bean-style.mysapo.net/search?q=%c3%81o%20n%e1%bb%af	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/searcheaef.html	(from https://bean-style.mysapo.net/)
15:25:06	272003/272003	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2008:24:58%20GMT	https://bean-style.mysapo.net/search?q=Trang%20s%e1%bb%a9c	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/searchc085.html	(from https://bean-style.mysapo.net/)
15:25:09	273245/273245	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2008:25:04%20GMT	https://bean-style.mysapo.net/search?q=Ph%e1%bb%a5%20ki%e1%bb%87n	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/searchb949.html	(from https://bean-style.mysapo.net/)
15:25:11	262477/262477	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2008:25:06%20GMT	https://bean-style.mysapo.net/he-thong-cua-hang	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/he-thong-cua-hang.html	(from https://bean-style.mysapo.net/)
15:25:12	255728/255728	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2008:25:09%20GMT	https://bean-style.mysapo.net/account/login	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/account/login.html	(from https://bean-style.mysapo.net/)
15:25:13	255924/255924	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2008:25:11%20GMT	https://bean-style.mysapo.net/account/register	C:/Users/dungb/Downloads/EXE201/bean-style.mysapo.net/account/register.html	(from https://bean-style.mysapo.net/)
